"pokemon_species_id","identifier","ja_hrkt","ja_roma","ko","zh_hant","fr","de","es","it","en","ja","zh_hans"
"23","ekans","へびポケモン",,"뱀포켓몬","蛇寶可夢","Pokémon Serpent","Schlange","Pokémon Serpiente","Pokémon Serpente","Snake Pokémon","へびポケモン","蛇宝可梦"
"24","arbok","コブラポケモン",,"코브라포켓몬","眼鏡蛇寶可夢","Pokémon Cobra","Kobra","Pokémon Cobra","Pokémon Cobra","Cobra Pokémon","コブラポケモン","眼镜蛇宝可梦"
"25","pikachu","ねずみポケモン",,"쥐포켓몬","鼠寶可夢","Pokémon Souris","Maus-Pokémon","Pokémon Ratón","Pokémon Topo","Mouse Pokémon","ねずみポケモン","鼠宝可梦"
"26","raichu","ねずみポケモン",,"쥐포켓몬","鼠寶可夢","Pokémon Souris","Maus-Pokémon","Pokémon Ratón","Pokémon Topo","Mouse Pokémon","ねずみポケモン","鼠宝可梦"
"27","sandshrew","ねずみポケモン",,"쥐포켓몬","鼠寶可夢","Pokémon Souris","Maus-Pokémon","Pokémon Ratón","Pokémon Topo","Mouse Pokémon","ねずみポケモン","鼠宝可梦"
"28","sandslash","ねずみポケモン",,"쥐포켓몬","鼠寶可夢","Pokémon Souris","Maus-Pokémon","Pokémon Ratón","Pokémon Topo","Mouse Pokémon","ねずみポケモン","鼠宝可梦"
"29","nidoran-f","どくばりポケモン",,"독침포켓몬","毒針寶可夢","Pokémon Vénépic","Giftdorn-Pokémon","Pokémon Pin Veneno","Pokémon Velenago","Poison Pin Pokémon","どくばりポケモン","毒针宝可梦"
"30","nidorina","どくばりポケモン",,"독침포켓몬","毒針寶可夢","Pokémon Vénépic","Giftdorn-Pokémon","Pokémon Pin Veneno","Pokémon Velenago","Poison Pin Pokémon","どくばりポケモン","毒针宝可梦"
"31","nidoqueen","ドリルポケモン",,"드릴포켓몬","鑽錐寶可夢","Pokémon Perceur","Bohrer-Pokémon","Pokémon Taladro","Pokémon Trapano","Drill Pokémon","ドリルポケモン","钻锥宝可梦"
"32","nidoran-m","どくばりポケモン",,"독침포켓몬","毒針寶可夢","Pokémon Vénépic","Giftdorn-Pokémon","Pokémon Pin Veneno","Pokémon Velenago","Poison Pin Pokémon","どくばりポケモン","毒针宝可梦"
"33","nidorino","どくばりポケモン",,"독침포켓몬","毒針寶可夢","Pokémon Vénépic","Giftdorn-Pokémon","Pokémon Pin Veneno","Pokémon Velenago","Poison Pin Pokémon","どくばりポケモン","毒针宝可梦"
"34","nidoking","ドリルポケモン",,"드릴포켓몬","鑽錐寶可夢","Pokémon Perceur","Bohrer-Pokémon","Pokémon Taladro","Pokémon Trapano","Drill Pokémon","ドリルポケモン","钻锥宝可梦"
"35","clefairy","ようせいポケモン",,"요정포켓몬","妖精寶可夢","Pokémon Fée","Feen-Pokémon","Pokémon Hada","Pokémon Fata","Fairy Pokémon","ようせいポケモン","妖精宝可梦"
"36","clefable","ようせいポケモン",,"요정포켓몬","妖精寶可夢","Pokémon Fée","Feen-Pokémon","Pokémon Hada","Pokémon Fata","Fairy Pokémon","ようせいポケモン","妖精宝可梦"
"37","vulpix","きつねポケモン",,"여우포켓몬","狐狸寶可夢","Pokémon Renard","Fuchs-Pokémon","Pokémon Zorro","Pokémon Volpe","Fox Pokémon","きつねポケモン","狐狸宝可梦"
"38","ninetales","きつねポケモン",,"여우포켓몬","狐狸寶可夢","Pokémon Renard","Fuchs-Pokémon","Pokémon Zorro","Pokémon Volpe","Fox Pokémon","きつねポケモン","狐狸宝可梦"
"39","jigglypuff","ふうせんポケモン",,"풍선포켓몬","氣球寶可夢","Pokémon Bouboule","Ballon-Pokémon","Pokémon Globo","Pokémon Pallone","Balloon Pokémon","ふうせんポケモン","气球宝可梦"
"40","wigglytuff","ふうせんポケモン",,"풍선포켓몬","氣球寶可夢","Pokémon Bouboule","Ballon-Pokémon","Pokémon Globo","Pokémon Pallone","Balloon Pokémon","ふうせんポケモン","气球宝可梦"
"41","zubat","こうもりポケモン",,"박쥐포켓몬","蝙蝠寶可夢","Pokémon Chovsouris","Fledermaus-Pokémon","Pokémon Murciélago","Pokémon Pipistrello","Bat Pokémon","こうもりポケモン","蝙蝠宝可梦"
"42","golbat","こうもりポケモン",,"박쥐포켓몬","蝙蝠寶可夢","Pokémon Chovsouris","Fledermaus-Pokémon","Pokémon Murciélago","Pokémon Pipistrello","Bat Pokémon","こうもりポケモン","蝙蝠宝可梦"
"43","oddish","ざっそうポケモン",,"잡초포켓몬","雜草寶可夢","Pokémon Racine","Unkraut-Pokémon","Pokémon Hierbajo","Pokémon Malerba","Weed Pokémon","ざっそうポケモン","杂草宝可梦"
"44","gloom","ざっそうポケモン",,"잡초포켓몬","雜草寶可夢","Pokémon Racine","Unkraut-Pokémon","Pokémon Hierbajo","Pokémon Malerba","Weed Pokémon","ざっそうポケモン","杂草宝可梦"
"45","vileplume","フラワーポケモン",,"꽃포켓몬","花寶可夢","Pokémon Fleur","Blumen-Pokémon","Pokémon Flor","Pokémon Fiore","Flower Pokémon","フラワーポケモン","花宝可梦"
"46","paras","きのこポケモン",,"버섯포켓몬","蘑菇寶可夢","Pokémon Champignon","Pilz","Pokémon Hongo","Pokémon Fungo","Mushroom Pokémon","きのこポケモン","蘑菇宝可梦"
"47","parasect","きのこポケモン",,"버섯포켓몬","蘑菇寶可夢","Pokémon Champignon","Pilz","Pokémon Hongo","Pokémon Fungo","Mushroom Pokémon","きのこポケモン","蘑菇宝可梦"
"48","venonat","こんちゅうポケモン",,"곤충포켓몬","昆蟲寶可夢","Pokémon Vermine","Insekt","Pokémon Insecto","Pokémon Insetto","Insect Pokémon","こんちゅうポケモン","昆虫宝可梦"
"49","venomoth","どくがポケモン",,"독나방포켓몬","毒蛾寶可夢","Pokémon Papipoison","Giftmotte","Pokémon Polilla Ven.","Pokémon Velentarma","Poison Moth Pokémon","どくがポケモン","毒蛾宝可梦"
"50","diglett","もぐらポケモン",,"두더지포켓몬","鼴鼠寶可夢","Pokémon Taupe","Maulwurf-Pokémon","Pokémon Topo","Pokémon Talpa","Mole Pokémon","もぐらポケモン","鼹鼠宝可梦"
"51","dugtrio","もぐらポケモン",,"두더지포켓몬","鼴鼠寶可夢","Pokémon Taupe","Maulwurf-Pokémon","Pokémon Topo","Pokémon Talpa","Mole Pokémon","もぐらポケモン","鼹鼠宝可梦"
"52","meowth","ばけねこポケモン",,"요괴고양이포켓몬","妖怪貓寶可夢","Pokémon Chadégout","Katzen-Pokémon","Pokémon Gato Araña","Pokémon Graffimiao","Scratch Cat Pokémon","ばけねこポケモン","妖怪猫宝可梦"
"53","persian","シャムネコポケモン",,"샴고양이포켓몬","暹羅貓寶可夢","Pokémon Chadeville","Rassekatzen-Pokémon","Pokémon Gato Fino","Pokémon Nobilgatto","Classy Cat Pokémon","シャムネコポケモン","暹罗猫宝可梦"
"54","psyduck","あひるポケモン",,"오리포켓몬","鴨寶可夢","Pokémon Canard","Enten-Pokémon","Pokémon Pato","Pokémon Papero","Duck Pokémon","あひるポケモン","鸭宝可梦"
"55","golduck","あひるポケモン",,"오리포켓몬","鴨寶可夢","Pokémon Canard","Enten-Pokémon","Pokémon Pato","Pokémon Papero","Duck Pokémon","あひるポケモン","鸭宝可梦"
"56","mankey","ぶたざるポケモン",,"돈숭이포켓몬","豬猴寶可夢","Pokémon Porsinge","Schwein/Affe","Pokémon Mono Cerdo","Pokémon Suinpanzé","Pig Monkey Pokémon","ぶたざるポケモン","猪猴宝可梦"
"57","primeape","ぶたざるポケモン",,"돈숭이포켓몬","豬猴寶可夢","Pokémon Porsinge","Schwein/Affe","Pokémon Mono Cerdo","Pokémon Suinpanzé","Pig Monkey Pokémon","ぶたざるポケモン","猪猴宝可梦"
"58","growlithe","こいぬポケモン",,"강아지포켓몬","小狗寶可夢","Pokémon Chiot","Welpen-Pokémon","Pokémon Perrito","Pokémon Cagnolino","Puppy Pokémon","こいぬポケモン","小狗宝可梦"
"59","arcanine","でんせつポケモン",,"전설포켓몬","傳說寶可夢","Pokémon Légendaire","Legendär-Pokémon","Pokémon Leyenda","Pokémon Leggenda","Legendary Pokémon","でんせつポケモン","传说宝可梦"
"60","poliwag","おたまポケモン",,"올챙이포켓몬","蝌蚪寶可夢","Pokémon Têtard","Kaulquappen-Pokémon","Pokémon Renacuajo","Pokémon Girino","Tadpole Pokémon","おたまポケモン","蝌蚪宝可梦"
"61","poliwhirl","おたまポケモン",,"올챙이포켓몬","蝌蚪寶可夢","Pokémon Têtard","Kaulquappen-Pokémon","Pokémon Renacuajo","Pokémon Girino","Tadpole Pokémon","おたまポケモン","蝌蚪宝可梦"
"62","poliwrath","おたまポケモン",,"올챙이포켓몬","蝌蚪寶可夢","Pokémon Têtard","Kaulquappen-Pokémon","Pokémon Renacuajo","Pokémon Girino","Tadpole Pokémon","おたまポケモン","蝌蚪宝可梦"
"63","abra","ねんりきポケモン",,"초능력포켓몬","念力寶可夢","Pokémon Psy","Psi-Pokémon","Pokémon Psi","Pokémon Psico","Psi Pokémon","ねんりきポケモン","念力宝可梦"
"64","kadabra","ねんりきポケモン",,"초능력포켓몬","念力寶可夢","Pokémon Psy","Psi-Pokémon","Pokémon Psi","Pokémon Psico","Psi Pokémon","ねんりきポケモン","念力宝可梦"
"65","alakazam","ねんりきポケモン",,"초능력포켓몬","念力寶可夢","Pokémon Psy","Psi-Pokémon","Pokémon Psi","Pokémon Psico","Psi Pokémon","ねんりきポケモン","念力宝可梦"
"66","machop","かいりきポケモン",,"괴력포켓몬","怪力寶可夢","Pokémon Colosse","Kraftprotz-Pokémon","Pokémon Superpoder","Pokémon Megaforza","Superpower Pokémon","かいりきポケモン","怪力宝可梦"
"67","machoke","かいりきポケモン",,"괴력포켓몬","怪力寶可夢","Pokémon Colosse","Kraftprotz-Pokémon","Pokémon Superpoder","Pokémon Megaforza","Superpower Pokémon","かいりきポケモン","怪力宝可梦"
"68","machamp","かいりきポケモン",,"괴력포켓몬","怪力寶可夢","Pokémon Colosse","Kraftprotz-Pokémon","Pokémon Superpoder","Pokémon Megaforza","Superpower Pokémon","かいりきポケモン","怪力宝可梦"
"69","bellsprout","フラワーポケモン",,"꽃포켓몬","花寶可夢","Pokémon Fleur","Blume","Pokémon Flor","Pokémon Fiore","Flower Pokémon","フラワーポケモン","花宝可梦"
"70","weepinbell","ハエとりポケモン",,"파리잡이포켓몬","捕蠅寶可夢","Pokémon Carnivore","Fliegentod","Pokémon Matamoscas","Pokémon Moschivoro","Flycatcher Pokémon","ハエとりポケモン","捕蝇宝可梦"
"71","victreebel","ハエとりポケモン",,"파리잡이포켓몬","捕蠅寶可夢","Pokémon Carnivore","Fliegentod","Pokémon Matamoscas","Pokémon Moschivoro","Flycatcher Pokémon","ハエとりポケモン","捕蝇宝可梦"
"72","tentacool","くらげポケモン",,"해파리포켓몬","水母寶可夢","Pokémon Mollusque","Quallen-Pokémon","Pokémon Medusa","Pokémon Medusa","Jellyfish Pokémon","くらげポケモン","水母宝可梦"
"73","tentacruel","くらげポケモン",,"해파리포켓몬","水母寶可夢","Pokémon Mollusque","Quallen-Pokémon","Pokémon Medusa","Pokémon Medusa","Jellyfish Pokémon","くらげポケモン","水母宝可梦"
"74","geodude","がんせきポケモン",,"암석포켓몬","岩石寶可夢","Pokémon Roche","Gestein","Pokémon Roca","Pokémon Roccia","Rock Pokémon","がんせきポケモン","岩石宝可梦"
"75","graveler","がんせきポケモン",,"암석포켓몬","岩石寶可夢","Pokémon Roche","Gestein","Pokémon Roca","Pokémon Roccia","Rock Pokémon","がんせきポケモン","岩石宝可梦"
"76","golem","メガトンポケモン",,"메가톤포켓몬","重量級寶可夢","Pokémon Titanesque","Urgestein","Pokémon Megatón","Pokémon Megatone","Megaton Pokémon","メガトンポケモン","重量级宝可梦"
"77","ponyta","ひのうまポケモン",,"불의말포켓몬","火馬寶可夢","Pokémon Cheval Feu","Feuerpferd-Pokémon","Pokémon Caballo Fuego","Pokémon Cavalfuoco","Fire Horse Pokémon","ひのうまポケモン","火马宝可梦"
"78","rapidash","ひのうまポケモン",,"불의말포켓몬","火馬寶可夢","Pokémon Cheval Feu","Feuerpferd-Pokémon","Pokémon Caballo Fuego","Pokémon Cavalfuoco","Fire Horse Pokémon","ひのうまポケモン","火马宝可梦"
"79","slowpoke","まぬけポケモン",,"얼간이포켓몬","憨憨寶可夢","Pokémon Crétin","Schnarcher-Pokémon","Pokémon Atontado","Pokémon Ronfone","Dopey Pokémon","まぬけポケモン","憨憨宝可梦"
"80","slowbro","やどかりポケモン",,"기생포켓몬","寄居蟹寶可夢","Pokémon Symbiose","Symbiose-Pokémon","Pokémon Ermitaño","Pokémon Paguro","Hermit Crab Pokémon","やどかりポケモン","寄居蟹宝可梦"
"81","magnemite","じしゃくポケモン",,"자석포켓몬","磁鐵寶可夢","Pokémon Magnétique","Magnet-Pokémon","Pokémon Imán","Pokémon Calamita","Magnet Pokémon","じしゃくポケモン","磁铁宝可梦"
"82","magneton","じしゃくポケモン",,"자석포켓몬","磁鐵寶可夢","Pokémon Magnétique","Magnet-Pokémon","Pokémon Imán","Pokémon Calamita","Magnet Pokémon","じしゃくポケモン","磁铁宝可梦"
"83","farfetchd","かるがもポケモン",,"청둥오리포켓몬","黃嘴鴨寶可夢","Pokémon Canard Fou","Wildenten-Pokémon","Pokémon Pato Salvaje","Pokémon Selvanatra","Wild Duck Pokémon","かるがもポケモン","黄嘴鸭宝可梦"
"84","doduo","ふたごどりポケモン",,"쌍둥이새포켓몬","兩頭鳥寶可夢","Pokémon Duoiseau","Duovogel","Pokémon Ave Gemela","Pokémon Biuccello","Twin Bird Pokémon","ふたごどりポケモン","两头鸟宝可梦"
"85","dodrio","みつごどりポケモン",,"세쌍둥이새포켓몬","三頭鳥寶可夢","Pokémon Trioiseau","Trivogel","Pokémon Ave Triple","Pokémon Triuccello","Triple Bird Pokémon","みつごどりポケモン","三头鸟宝可梦"
"86","seel","あしかポケモン",,"강치포켓몬","海獅寶可夢","Pokémon Otarie","Seehund","Pokémon León Marino","Pokémon Otaria","Sea Lion Pokémon","あしかポケモン","海狮宝可梦"
"87","dewgong","あしかポケモン",,"강치포켓몬","海獅寶可夢","Pokémon Otarie","Seehund","Pokémon León Marino","Pokémon Otaria","Sea Lion Pokémon","あしかポケモン","海狮宝可梦"
"88","grimer","ヘドロポケモン",,"진흙포켓몬","污泥寶可夢","Pokémon Dégueu","Schlamm","Pokémon Lodo","Pokémon Melma","Sludge Pokémon","ヘドロポケモン","污泥宝可梦"
"89","muk","ヘドロポケモン",,"진흙포켓몬","污泥寶可夢","Pokémon Dégueu","Schlamm","Pokémon Lodo","Pokémon Melma","Sludge Pokémon","ヘドロポケモン","污泥宝可梦"
"90","shellder","２まいがいポケモン",,"두조개포켓몬","雙殼貝寶可夢","Pokémon Bivalve","Muschel-Pokémon","Pokémon Bivalvo","Pokémon Bivalve","Bivalve Pokémon","２まいがいポケモン","双壳贝宝可梦"
"91","cloyster","２まいがいポケモン",,"두조개포켓몬","雙殼貝寶可夢","Pokémon Bivalve","Muschel-Pokémon","Pokémon Bivalvo","Pokémon Bivalve","Bivalve Pokémon","２まいがいポケモン","双壳贝宝可梦"
"92","gastly","ガスじょうポケモン",,"가스포켓몬","氣體狀寶可夢","Pokémon Gaz","Gas-Pokémon","Pokémon Gas","Pokémon Gas","Gas Pokémon","ガスじょうポケモン","气体状宝可梦"
"93","haunter","ガスじょうポケモン",,"가스포켓몬","氣體狀寶可夢","Pokémon Gaz","Gas-Pokémon","Pokémon Gas","Pokémon Gas","Gas Pokémon","ガスじょうポケモン","气体状宝可梦"
"94","gengar","シャドーポケモン",,"그림자포켓몬","影子寶可夢","Pokémon Ombre","Schatten-Pokémon","Pokémon Sombra","Pokémon Ombra","Shadow Pokémon","シャドーポケモン","影子宝可梦"
"95","onix","いわへびポケモン",,"돌뱀포켓몬","岩蛇寶可夢","Pokémon Serpenroc","Felsnatter-Pokémon","Pokémon Serpiente Roca","Pokémon Serpesasso","Rock Snake Pokémon","いわへびポケモン","岩蛇宝可梦"
"96","drowzee","さいみんポケモン",,"최면포켓몬","催眠寶可夢","Pokémon Hypnose","Hypnose","Pokémon Hipnosis","Pokémon Ipnosi","Hypnosis Pokémon","さいみんポケモン","催眠宝可梦"
"97","hypno","さいみんポケモン",,"최면포켓몬","催眠寶可夢","Pokémon Hypnose","Hypnose","Pokémon Hipnosis","Pokémon Ipnosi","Hypnosis Pokémon","さいみんポケモン","催眠宝可梦"
"98","krabby","さわがにポケモン",,"게포켓몬","清水蟹寶可夢","Pokémon Doux Crabe","Krabben-Pokémon","Pokémon Cangrejo","Pokémon Granchio","River Crab Pokémon","さわがにポケモン","清水蟹宝可梦"
"99","kingler","はさみポケモン",,"집게포켓몬","鉗子寶可夢","Pokémon Pince","Kneifer-Pokémon","Pokémon Tenaza","Pokémon Chela","Pincer Pokémon","はさみポケモン","钳子宝可梦"
"100","voltorb","ボールポケモン",,"볼포켓몬","球寶可夢","Pokémon Balle","Ball","Pokémon Bola","Pokémon Ball","Ball Pokémon","ボールポケモン","球宝可梦"
"101","electrode","ボールポケモン",,"볼포켓몬","球寶可夢","Pokémon Balle","Ball","Pokémon Bola","Pokémon Ball","Ball Pokémon","ボールポケモン","球宝可梦"
"102","exeggcute","たまごポケモン",,"알포켓몬","蛋寶可夢","Pokémon Œuf","Ei-Pokémon","Pokémon Huevo","Pokémon Uovo","Egg Pokémon","たまごポケモン","蛋宝可梦"
"103","exeggutor","やしのみポケモン",,"야자열매포켓몬","椰子寶可夢","Pokémon Fruitpalme","Palmfrucht-Pokémon","Pokémon Coco","Pokémon Nocecocco","Coconut Pokémon","やしのみポケモン","椰子宝可梦"
"104","cubone","こどくポケモン",,"고독포켓몬","孤獨寶可夢","Pokémon Solitaire","Einsam-Pokémon","Pokémon Solitario","Pokémon Solitario","Lonely Pokémon","こどくポケモン","孤独宝可梦"
"105","marowak","ほねずきポケモン",,"뼈다귀포켓몬","愛骨寶可夢","Pokémon Gard’Os","Knochenfan-Pokémon","Pokémon Apilahueso","Pokémon Guardaossi","Bone Keeper Pokémon","ほねずきポケモン","爱骨宝可梦"
"106","hitmonlee","キックポケモン",,"킥포켓몬","踢腿寶可夢","Pokémon Latteur","Kicker-Pokémon","Pokémon Patada","Pokémon Tiracalci","Kicking Pokémon","キックポケモン","踢腿宝可梦"
"107","hitmonchan","パンチポケモン",,"펀치포켓몬","拳擊寶可夢","Pokémon Puncheur","Puncher-Pokémon","Pokémon Puñetazo","Pokémon Tirapugni","Punching Pokémon","パンチポケモン","拳击宝可梦"
"108","lickitung","なめまわしポケモン",,"핥기포켓몬","舔舔寶可夢","Pokémon Lécheur","Schlecker-Pokémon","Pokémon Lametazo","Pokémon Linguaccia","Licking Pokémon","なめまわしポケモン","舔舔宝可梦"
"109","koffing","どくガスポケモン",,"독가스포켓몬","毒氣寶可夢","Pokémon Gaz Mortel","Giftwolken-Pokémon","Pokémon Gas Venenoso","Pokémon Velenuvola","Poison Gas Pokémon","どくガスポケモン","毒气宝可梦"
"110","weezing","どくガスポケモン",,"독가스포켓몬","毒氣寶可夢","Pokémon Gaz Mortel","Giftwolken-Pokémon","Pokémon Gas Venenoso","Pokémon Velenuvola","Poison Gas Pokémon","どくガスポケモン","毒气宝可梦"
"111","rhyhorn","とげとげポケモン",,"뿔포켓몬","尖尖寶可夢","Pokémon Piquant","Stachler-Pokémon","Pokémon Clavos","Pokémon Punzoni","Spikes Pokémon","とげとげポケモン","尖尖宝可梦"
"112","rhydon","ドリルポケモン",,"드릴포켓몬","鑽錐寶可夢","Pokémon Perceur","Bohrer-Pokémon","Pokémon Taladro","Pokémon Trapano","Drill Pokémon","ドリルポケモン","钻锥宝可梦"
"113","chansey","たまごポケモン",,"알포켓몬","蛋寶可夢","Pokémon Œuf","Ei-Pokémon","Pokémon Huevo","Pokémon Uovo","Egg Pokémon","たまごポケモン","蛋宝可梦"
"114","tangela","ツルじょうポケモン",,"넝쿨포켓몬","藤蔓狀寶可夢","Pokémon Vigne","Ranken-Pokémon","Pokémon Enredadera","Pokémon Liana","Vine Pokémon","ツルじょうポケモン","藤蔓状宝可梦"
"115","kangaskhan","おやこポケモン",,"가족포켓몬","親子寶可夢","Pokémon Maternel","Muttertier-Pokémon","Pokémon Maternal","Pokémon Genitore","Parent Pokémon","おやこポケモン","亲子宝可梦"
"116","horsea","ドラゴンポケモン",,"드래곤포켓몬","龍寶可夢","Pokémon Dragon","Drachen-Pokémon","Pokémon Dragón","Pokémon Drago","Dragon Pokémon","ドラゴンポケモン","龙宝可梦"
"117","seadra","ドラゴンポケモン",,"드래곤포켓몬","龍寶可夢","Pokémon Dragon","Drachen-Pokémon","Pokémon Dragón","Pokémon Drago","Dragon Pokémon","ドラゴンポケモン","龙宝可梦"
"118","goldeen","きんぎょポケモン",,"금붕어포켓몬","金魚寶可夢","Pokémon Poisson","Goldfisch-Pokémon","Pokémon Pez Color","Pokémon Pescerosso","Goldfish Pokémon","きんぎょポケモン","金鱼宝可梦"
"119","seaking","きんぎょポケモン",,"금붕어포켓몬","金魚寶可夢","Pokémon Poisson","Goldfisch-Pokémon","Pokémon Pez Color","Pokémon Pescerosso","Goldfish Pokémon","きんぎょポケモン","金鱼宝可梦"
"120","staryu","ほしがたポケモン",,"별포켓몬","星形寶可夢","Pokémon Étoile","Sternform-Pokémon","Pokémon Estrella","Pokémon Stella","Star Shape Pokémon","ほしがたポケモン","星形宝可梦"
"121","starmie","なぞのポケモン",,"수수께끼포켓몬","謎寶可夢","Pokémon Mystérieux","Mysteriös-Pokémon","Pokémon Misterioso","Pokémon Misterioso","Mysterious Pokémon","なぞのポケモン","谜宝可梦"
"122","mr-mime","バリアーポケモン",,"배리어포켓몬","屏障寶可夢","Pokémon Bloqueur","Sperren-Pokémon","Pokémon Barrera","Pokémon Barriera","Barrier Pokémon","バリアーポケモン","屏障宝可梦"
"123","scyther","かまきりポケモン",,"버마재비포켓몬","螳螂寶可夢","Pokémon Mante","Mantis-Pokémon","Pokémon Mantis","Pokémon Mantide","Mantis Pokémon","かまきりポケモン","螳螂宝可梦"
"124","jynx","ひとがたポケモン",,"인간형태포켓몬","人形寶可夢","Pokémon Humanoïde","Humanotyp-Pokémon","Pokémon Forma Humana","Pokémon Umanoide","Human Shape Pokémon","ひとがたポケモン","人形宝可梦"
"125","electabuzz","でんげきポケモン",,"전기포켓몬","電擊寶可夢","Pokémon Électrique","Elektro-Pokémon","Pokémon Eléctrico","Pokémon Elettrico","Electric Pokémon","でんげきポケモン","电击宝可梦"
"126","magmar","ひふきポケモン",,"불뿜기포켓몬","吐火寶可夢","Pokémon Crache-Feu","Brenner-Pokémon","Pokémon Escupefuego","Pokémon Sputafuoco","Spitfire Pokémon","ひふきポケモン","吐火宝可梦"
