"pokemon_species_id","identifier","ja_hrkt","ja_roma","ko","zh_hant","fr","de","es","it","en","ja","zh_hans"
"26","raichu","ライチュウ","Raichu","라이츄","雷丘","Raichu","Raichu","Raichu","Raichu","Raichu","ライチュウ","雷丘"
"27","sandshrew","サンド","Sand","모래두지","穿山鼠","Sabelette","Sandan","Sandshrew","Sandshrew","Sandshrew","サンド","穿山鼠"
"28","sandslash","サンドパン","Sandpan","고지","穿山王","Sablaireau","Sandamer","Sandslash","Sandslash","Sandslash","サンドパン","穿山王"
"29","nidoran-f","ニドラン♀","Nidoran♀","니드런♀","尼多蘭","Nidoran♀","Nidoran♀","Nidoran♀","Nidoran♀","Nidoran♀","ニドラン♀","尼多兰"
"30","nidorina","ニドリーナ","Nidorina","니드리나","尼多娜","Nidorina","Nidorina","Nidorina","Nidorina","Nidorina","ニドリーナ","尼多娜"
"31","nidoqueen","ニドクイン","Nidoqueen","니드퀸","尼多后","Nidoqueen","Nidoqueen","Nidoqueen","Nidoqueen","Nidoqueen","ニドクイン","尼多后"
"32","nidoran-m","ニドラン♂","Nidoran♂","니드런♂","尼多朗","Nidoran♂","Nidoran♂","Nidoran♂","Nidoran♂","Nidoran♂","ニドラン♂","尼多朗"
"33","nidorino","ニドリーノ","Nidorino","니드리노","尼多力諾","Nidorino","Nidorino","Nidorino","Nidorino","Nidorino","ニドリーノ","尼多力诺"
"34","nidoking","ニドキング","Nidoking","니드킹","尼多王","Nidoking","Nidoking","Nidoking","Nidoking","Nidoking","ニドキング","尼多王"
"35","clefairy","ピッピ","Pippi","삐삐","皮皮","Mélofée","Piepi","Clefairy","Clefairy","Clefairy","ピッピ","皮皮"
"36","clefable","ピクシー","Pixy","픽시","皮可西","Mélodelfe","Pixi","Clefable","Clefable","Clefable","ピクシー","皮可西"
"37","vulpix","ロコン","Rokon","식스테일","六尾","Goupix","Vulpix","Vulpix","Vulpix","Vulpix","ロコン","六尾"
"38","ninetales","キュウコン","Kyukon","나인테일","九尾","Feunard","Vulnona","Ninetales","Ninetales","Ninetales","キュウコン","九尾"
"39","jigglypuff","プリン","Purin","푸린","胖丁","Rondoudou","Pummeluff","Jigglypuff","Jigglypuff","Jigglypuff","プリン","胖丁"
"40","wigglytuff","プクリン","Pukurin","푸크린","胖可丁","Grodoudou","Knuddeluff","Wigglytuff","Wigglytuff","Wigglytuff","プクリン","胖可丁"
"41","zubat","ズバット","Zubat","주뱃","超音蝠","Nosferapti","Zubat","Zubat","Zubat","Zubat","ズバット","超音蝠"
"42","golbat","ゴルバット","Golbat","골뱃","大嘴蝠","Nosferalto","Golbat","Golbat","Golbat","Golbat","ゴルバット","大嘴蝠"
"43","oddish","ナゾノクサ","Nazonokusa","뚜벅쵸","走路草","Mystherbe","Myrapla","Oddish","Oddish","Oddish","ナゾノクサ","走路草"
"44","gloom","クサイハナ","Kusaihana","냄새꼬","臭臭花","Ortide","Duflor","Gloom","Gloom","Gloom","クサイハナ","臭臭花"
"45","vileplume","ラフレシア","Ruffresia","라플레시아","霸王花","Rafflesia","Giflor","Vileplume","Vileplume","Vileplume","ラフレシア","霸王花"
"46","paras","パラス","Paras","파라스","派拉斯","Paras","Paras","Paras","Paras","Paras","パラス","派拉斯"
"47","parasect","パラセクト","Parasect","파라섹트","派拉斯特","Parasect","Parasek","Parasect","Parasect","Parasect","パラセクト","派拉斯特"
"48","venonat","コンパン","Kongpang","콘팡","毛球","Mimitoss","Bluzuk","Venonat","Venonat","Venonat","コンパン","毛球"
"49","venomoth","モルフォン","Morphon","도나리","摩魯蛾","Aéromite","Omot","Venomoth","Venomoth","Venomoth","モルフォン","摩鲁蛾"
"50","diglett","ディグダ","Digda","디그다","地鼠","Taupiqueur","Digda","Diglett","Diglett","Diglett","ディグダ","地鼠"
"51","dugtrio","ダグトリオ","Dugtrio","닥트리오","三地鼠","Triopikeur","Digdri","Dugtrio","Dugtrio","Dugtrio","ダグトリオ","三地鼠"
"52","meowth","ニャース","Nyarth","나옹","喵喵","Miaouss","Mauzi","Meowth","Meowth","Meowth","ニャース","喵喵"
"53","persian","ペルシアン","Persian","페르시온","貓老大","Persian","Snobilikat","Persian","Persian","Persian","ペルシアン","猫老大"
"54","psyduck","コダック","Koduck","고라파덕","可達鴨","Psykokwak","Enton","Psyduck","Psyduck","Psyduck","コダック","可达鸭"
"55","golduck","ゴルダック","Golduck","골덕","哥達鴨","Akwakwak","Entoron","Golduck","Golduck","Golduck","ゴルダック","哥达鸭"
"56","mankey","マンキー","Mankey","망키","猴怪","Férosinge","Menki","Mankey","Mankey","Mankey","マンキー","猴怪"
"57","primeape","オコリザル","Okorizaru","성원숭","火爆猴","Colossinge","Rasaff","Primeape","Primeape","Primeape","オコリザル","火暴猴"
"58","growlithe","ガーディ","Gardie","가디","卡蒂狗","Caninos","Fukano","Growlithe","Growlithe","Growlithe","ガーディ","卡蒂狗"
"59","arcanine","ウインディ","Windie","윈디","風速狗","Arcanin","Arkani","Arcanine","Arcanine","Arcanine","ウインディ","风速狗"
"60","poliwag","ニョロモ","Nyoromo","발챙이","蚊香蝌蚪","Ptitard","Quapsel","Poliwag","Poliwag","Poliwag","ニョロモ","蚊香蝌蚪"
"61","poliwhirl","ニョロゾ","Nyorozo","슈륙챙이","蚊香君","Têtarte","Quaputzi","Poliwhirl","Poliwhirl","Poliwhirl","ニョロゾ","蚊香君"
"62","poliwrath","ニョロボン","Nyorobon","강챙이","蚊香泳士","Tartard","Quappo","Poliwrath","Poliwrath","Poliwrath","ニョロボン","蚊香泳士"
"63","abra","ケーシィ","Casey","캐이시","凱西","Abra","Abra","Abra","Abra","Abra","ケーシィ","凯西"
"64","kadabra","ユンゲラー","Yungerer","윤겔라","勇基拉","Kadabra","Kadabra","Kadabra","Kadabra","Kadabra","ユンゲラー","勇基拉"
"65","alakazam","フーディン","Foodin","후딘","胡地","Alakazam","Simsala","Alakazam","Alakazam","Alakazam","フーディン","胡地"
"66","machop","ワンリキー","Wanriky","알통몬","腕力","Machoc","Machollo","Machop","Machop","Machop","ワンリキー","腕力"
"67","machoke","ゴーリキー","Goriky","근육몬","豪力","Machopeur","Maschock","Machoke","Machoke","Machoke","ゴーリキー","豪力"
"68","machamp","カイリキー","Kairiky","괴력몬","怪力","Mackogneur","Machomei","Machamp","Machamp","Machamp","カイリキー","怪力"
"69","bellsprout","マダツボミ","Madatsubomi","모다피","喇叭芽","Chétiflor","Knofensa","Bellsprout","Bellsprout","Bellsprout","マダツボミ","喇叭芽"
"70","weepinbell","ウツドン","Utsudon","우츠동","口呆花","Boustiflor","Ultrigaria","Weepinbell","Weepinbell","Weepinbell","ウツドン","口呆花"
"71","victreebel","ウツボット","Utsubot","우츠보트","大食花","Empiflor","Sarzenia","Victreebel","Victreebel","Victreebel","ウツボット","大食花"
"72","tentacool","メノクラゲ","Menokurage","왕눈해","瑪瑙水母","Tentacool","Tentacha","Tentacool","Tentacool","Tentacool","メノクラゲ","玛瑙水母"
"73","tentacruel","ドククラゲ","Dokukurage","독파리","毒刺水母","Tentacruel","Tentoxa","Tentacruel","Tentacruel","Tentacruel","ドククラゲ","毒刺水母"
"74","geodude","イシツブテ","Isitsubute","꼬마돌","小拳石","Racaillou","Kleinstein","Geodude","Geodude","Geodude","イシツブテ","小拳石"
"75","graveler","ゴローン","Golone","데구리","隆隆石","Gravalanch","Georok","Graveler","Graveler","Graveler","ゴローン","隆隆石"
"76","golem","ゴローニャ","Golonya","딱구리","隆隆岩","Grolem","Geowaz","Golem","Golem","Golem","ゴローニャ","隆隆岩"
"77","ponyta","ポニータ","Ponyta","포니타","小火馬","Ponyta","Ponita","Ponyta","Ponyta","Ponyta","ポニータ","小火马"
"78","rapidash","ギャロップ","Gallop","날쌩마","烈焰馬","Galopa","Gallopa","Rapidash","Rapidash","Rapidash","ギャロップ","烈焰马"
"79","slowpoke","ヤドン","Yadon","야돈","呆呆獸","Ramoloss","Flegmon","Slowpoke","Slowpoke","Slowpoke","ヤドン","呆呆兽"
"80","slowbro","ヤドラン","Yadoran","야도란","呆殼獸","Flagadoss","Lahmus","Slowbro","Slowbro","Slowbro","ヤドラン","呆壳兽"
"81","magnemite","コイル","Coil","코일","小磁怪","Magnéti","Magnetilo","Magnemite","Magnemite","Magnemite","コイル","小磁怪"
"82","magneton","レアコイル","Rarecoil","레어코일","三合一磁怪","Magnéton","Magneton","Magneton","Magneton","Magneton","レアコイル","三合一磁怪"
"83","farfetchd","カモネギ","Kamonegi","파오리","大蔥鴨","Canarticho","Porenta","Farfetch’d","Farfetch’d","Farfetch’d","カモネギ","大葱鸭"
"84","doduo","ドードー","Dodo","두두","嘟嘟","Doduo","Dodu","Doduo","Doduo","Doduo","ドードー","嘟嘟"
"85","dodrio","ドードリオ","Dodorio","두트리오","嘟嘟利","Dodrio","Dodri","Dodrio","Dodrio","Dodrio","ドードリオ","嘟嘟利"
"86","seel","パウワウ","Pawou","쥬쥬","小海獅","Otaria","Jurob","Seel","Seel","Seel","パウワウ","小海狮"
"87","dewgong","ジュゴン","Jugon","쥬레곤","白海獅","Lamantine","Jugong","Dewgong","Dewgong","Dewgong","ジュゴン","白海狮"
"88","grimer","ベトベター","Betbeter","질퍽이","臭泥","Tadmorv","Sleima","Grimer","Grimer","Grimer","ベトベター","臭泥"
"89","muk","ベトベトン","Betbeton","질뻐기","臭臭泥","Grotadmorv","Sleimok","Muk","Muk","Muk","ベトベトン","臭臭泥"
"90","shellder","シェルダー","Shellder","셀러","大舌貝","Kokiyas","Muschas","Shellder","Shellder","Shellder","シェルダー","大舌贝"
"91","cloyster","パルシェン","Parshen","파르셀","刺甲貝","Crustabri","Austos","Cloyster","Cloyster","Cloyster","パルシェン","刺甲贝"
"92","gastly","ゴース","Ghos","고오스","鬼斯","Fantominus","Nebulak","Gastly","Gastly","Gastly","ゴース","鬼斯"
"93","haunter","ゴースト","Ghost","고우스트","鬼斯通","Spectrum","Alpollo","Haunter","Haunter","Haunter","ゴースト","鬼斯通"
"94","gengar","ゲンガー","Gangar","팬텀","耿鬼","Ectoplasma","Gengar","Gengar","Gengar","Gengar","ゲンガー","耿鬼"
"95","onix","イワーク","Iwark","롱스톤","大岩蛇","Onix","Onix","Onix","Onix","Onix","イワーク","大岩蛇"
"96","drowzee","スリープ","Sleep","슬리프","催眠貘","Soporifik","Traumato","Drowzee","Drowzee","Drowzee","スリープ","催眠貘"
"97","hypno","スリーパー","Sleeper","슬리퍼","引夢貘人","Hypnomade","Hypno","Hypno","Hypno","Hypno","スリーパー","引梦貘人"
"98","krabby","クラブ","Crab","크랩","大鉗蟹","Krabby","Krabby","Krabby","Krabby","Krabby","クラブ","大钳蟹"
"99","kingler","キングラー","Kingler","킹크랩","巨鉗蟹","Krabboss","Kingler","Kingler","Kingler","Kingler","キングラー","巨钳蟹"
"100","voltorb","ビリリダマ","Biriridama","찌리리공","霹靂電球","Voltorbe","Voltobal","Voltorb","Voltorb","Voltorb","ビリリダマ","霹雳电球"
"101","electrode","マルマイン","Marumine","붐볼","頑皮雷彈","Électrode","Lektrobal","Electrode","Electrode","Electrode","マルマイン","顽皮雷弹"
"102","exeggcute","タマタマ","Tamatama","아라리","蛋蛋","Noeunoeuf","Owei","Exeggcute","Exeggcute","Exeggcute","タマタマ","蛋蛋"
"103","exeggutor","ナッシー","Nassy","나시","椰蛋樹","Noadkoko","Kokowei","Exeggutor","Exeggutor","Exeggutor","ナッシー","椰蛋树"
"104","cubone","カラカラ","Karakara","탕구리","卡拉卡拉","Osselait","Tragosso","Cubone","Cubone","Cubone","カラカラ","卡拉卡拉"
"105","marowak","ガラガラ","Garagara","텅구리","嘎啦嘎啦","Ossatueur","Knogga","Marowak","Marowak","Marowak","ガラガラ","嘎啦嘎啦"
"106","hitmonlee","サワムラー","Sawamular","시라소몬","飛腿郎","Kicklee","Kicklee","Hitmonlee","Hitmonlee","Hitmonlee","サワムラー","飞腿郎"
"107","hitmonchan","エビワラー","Ebiwalar","홍수몬","快拳郎","Tygnon","Nockchan","Hitmonchan","Hitmonchan","Hitmonchan","エビワラー","快拳郎"
"108","lickitung","ベロリンガ","Beroringa","내루미","大舌頭","Excelangue","Schlurp","Lickitung","Lickitung","Lickitung","ベロリンガ","大舌头"
"109","koffing","ドガース","Dogars","또가스","瓦斯彈","Smogo","Smogon","Koffing","Koffing","Koffing","ドガース","瓦斯弹"
"110","weezing","マタドガス","Matadogas","또도가스","雙彈瓦斯","Smogogo","Smogmog","Weezing","Weezing","Weezing","マタドガス","双弹瓦斯"
"111","rhyhorn","サイホーン","Sihorn","뿔카노","獨角犀牛","Rhinocorne","Rihorn","Rhyhorn","Rhyhorn","Rhyhorn","サイホーン","独角犀牛"
"112","rhydon","サイドン","Sidon","코뿌리","鑽角犀獸","Rhinoféros","Rizeros","Rhydon","Rhydon","Rhydon","サイドン","钻角犀兽"
"113","chansey","ラッキー","Lucky","럭키","吉利蛋","Leveinard","Chaneira","Chansey","Chansey","Chansey","ラッキー","吉利蛋"
"114","tangela","モンジャラ","Monjara","덩쿠리","蔓藤怪","Saquedeneu","Tangela","Tangela","Tangela","Tangela","モンジャラ","蔓藤怪"
"115","kangaskhan","ガルーラ","Garura","캥카","袋獸","Kangourex","Kangama","Kangaskhan","Kangaskhan","Kangaskhan","ガルーラ","袋兽"
"116","horsea","タッツー","Tattu","쏘드라","墨海馬","Hypotrempe","Seeper","Horsea","Horsea","Horsea","タッツー","墨海马"
"117","seadra","シードラ","Seadra","시드라","海刺龍","Hypocéan","Seemon","Seadra","Seadra","Seadra","シードラ","海刺龙"
"118","goldeen","トサキント","Tosakinto","콘치","角金魚","Poissirène","Goldini","Goldeen","Goldeen","Goldeen","トサキント","角金鱼"
"119","seaking","アズマオウ","Azumao","왕콘치","金魚王","Poissoroy","Golking","Seaking","Seaking","Seaking","アズマオウ","金鱼王"
"120","staryu","ヒトデマン","Hitodeman","별가사리","海星星","Stari","Sterndu","Staryu","Staryu","Staryu","ヒトデマン","海星星"
"121","starmie","スターミー","Starmie","아쿠스타","寶石海星","Staross","Starmie","Starmie","Starmie","Starmie","スターミー","宝石海星"
"122","mr-mime","バリヤード","Barrierd","마임맨","魔牆人偶","M. Mime","Pantimos","Mr. Mime","Mr. Mime","Mr. Mime","バリヤード","魔墙人偶"
"123","scyther","ストライク","Strike","스라크","飛天螳螂","Insécateur","Sichlor","Scyther","Scyther","Scyther","ストライク","飞天螳螂"
"124","jynx","ルージュラ","Rougela","루주라","迷唇姐","Lippoutou","Rossana","Jynx","Jynx","Jynx","ルージュラ","迷唇姐"
"125","electabuzz","エレブー","Eleboo","에레브","電擊獸","Élektek","Elektek","Electabuzz","Electabuzz","Electabuzz","エレブー","电击兽"
"126","magmar","ブーバー","Boober","마그마","鴨嘴火獸","Magmar","Magmar","Magmar","Magmar","Magmar","ブーバー","鸭嘴火兽"
"127","pinsir","カイロス","Kailios","쁘사이저","凱羅斯","Scarabrute","Pinsir","Pinsir","Pinsir","Pinsir","カイロス","凯罗斯"
"128","tauros","ケンタロス","Kentauros","켄타로스","肯泰羅","Tauros","Tauros","Tauros","Tauros","Tauros","ケンタロス","肯泰罗"
"129","magikarp","コイキング","Koiking","잉어킹","鯉魚王","Magicarpe","Karpador","Magikarp","Magikarp","Magikarp","コイキング","鲤鱼王"
"130","gyarados","ギャラドス","Gyarados","갸라도스","暴鯉龍","Léviator","Garados","Gyarados","Gyarados","Gyarados","ギャラドス","暴鲤龙"
"131","lapras","ラプラス","Laplace","라프라스","拉普拉斯","Lokhlass","Lapras","Lapras","Lapras","Lapras","ラプラス","拉普拉斯"
"132","ditto","メタモン","Metamon","메타몽","百變怪","Métamorph","Ditto","Ditto","Ditto","Ditto","メタモン","百变怪"
"133","eevee","イーブイ","Eievui","이브이","伊布","Évoli","Evoli","Eevee","Eevee","Eevee","イーブイ","伊布"
"134","vaporeon","シャワーズ","Showers","샤미드","水伊布","Aquali","Aquana","Vaporeon","Vaporeon","Vaporeon","シャワーズ","水伊布"
"135","jolteon","サンダース","Thunders","쥬피썬더","雷伊布","Voltali","Blitza","Jolteon","Jolteon","Jolteon","サンダース","雷伊布"
"136","flareon","ブースター","Booster","부스터","火伊布","Pyroli","Flamara","Flareon","Flareon","Flareon","ブースター","火伊布"
"137","porygon","ポリゴン","Porygon","폴리곤","多邊獸","Porygon","Porygon","Porygon","Porygon","Porygon","ポリゴン","多边兽"
"138","omanyte","オムナイト","Omnite","암나이트","菊石獸","Amonita","Amonitas","Omanyte","Omanyte","Omanyte","オムナイト","菊石兽"
"139","omastar","オムスター","Omstar","암스타","多刺菊石獸","Amonistar","Amoroso","Omastar","Omastar","Omastar","オムスター","多刺菊石兽"
"140","kabuto","カブト","Kabuto","투구","化石盔","Kabuto","Kabuto","Kabuto","Kabuto","Kabuto","カブト","化石盔"
"141","kabutops","カブトプス","Kabutops","투구푸스","鐮刀盔","Kabutops","Kabutops","Kabutops","Kabutops","Kabutops","カブトプス","镰刀盔"
"142","aerodactyl","プテラ","Ptera","프테라","化石翼龍","Ptéra","Aerodactyl","Aerodactyl","Aerodactyl","Aerodactyl","プテラ","化石翼龙"
"143","snorlax","カビゴン","Kabigon","잠만보","卡比獸","Ronflex","Relaxo","Snorlax","Snorlax","Snorlax","カビゴン","卡比兽"
"144","articuno","フリーザー","Freezer","프리져","急凍鳥","Artikodin","Arktos","Articuno","Articuno","Articuno","フリーザー","急冻鸟"
"145","zapdos","サンダー","Thunder","썬더","閃電鳥","Électhor","Zapdos","Zapdos","Zapdos","Zapdos","サンダー","闪电鸟"
"146","moltres","ファイヤー","Fire","파이어","火焰鳥","Sulfura","Lavados","Moltres","Moltres","Moltres","ファイヤー","火焰鸟"
"147","dratini","ミニリュウ","Miniryu","미뇽","迷你龍","Minidraco","Dratini","Dratini","Dratini","Dratini","ミニリュウ","迷你龙"
"148","dragonair","ハクリュー","Hakuryu","신뇽","哈克龍","Draco","Dragonir","Dragonair","Dragonair","Dragonair","ハクリュー","哈克龙"
"149","dragonite","カイリュー","Kairyu","망나뇽","快龍","Dracolosse","Dragoran","Dragonite","Dragonite","Dragonite","カイリュー","快龙"
"150","mewtwo","ミュウツー","Mewtwo","뮤츠","超夢","Mewtwo","Mewtu","Mewtwo","Mewtwo","Mewtwo","ミュウツー","超梦"
"151","mew","ミュウ","Mew","뮤","夢幻","Mew","Mew","Mew","Mew","Mew","ミュウ","梦幻"
"152","chikorita","チコリータ","Chicorita","치코리타","菊草葉","Germignon","Endivie","Chikorita","Chikorita","Chikorita","チコリータ","菊草叶"
"153","bayleef","ベイリーフ","Bayleaf","베이리프","月桂葉","Macronium","Lorblatt","Bayleef","Bayleef","Bayleef","ベイリーフ","月桂叶"
"154","meganium","メガニウム","Meganium","메가니움","大竺葵","Méganium","Meganie","Meganium","Meganium","Meganium","メガニウム","大竺葵"
"155","cyndaquil","ヒノアラシ","Hinoarashi","브케인","火球鼠","Héricendre","Feurigel","Cyndaquil","Cyndaquil","Cyndaquil","ヒノアラシ","火球鼠"
"156","quilava","マグマラシ","Magmarashi","마그케인","火岩鼠","Feurisson","Igelavar","Quilava","Quilava","Quilava","マグマラシ","火岩鼠"
"157","typhlosion","バクフーン","Bakphoon","블레이범","火爆獸","Typhlosion","Tornupto","Typhlosion","Typhlosion","Typhlosion","バクフーン","火暴兽"
"158","totodile","ワニノコ","Waninoko","리아코","小鋸鱷","Kaiminus","Karnimani","Totodile","Totodile","Totodile","ワニノコ","小锯鳄"
"159","croconaw","アリゲイツ","Alligates","엘리게이","藍鱷","Crocrodil","Tyracroc","Croconaw","Croconaw","Croconaw","アリゲイツ","蓝鳄"
"160","feraligatr","オーダイル","Ordile","장크로다일","大力鱷","Aligatueur","Impergator","Feraligatr","Feraligatr","Feraligatr","オーダイル","大力鳄"
"161","sentret","オタチ","Otachi","꼬리선","尾立","Fouinette","Wiesor","Sentret","Sentret","Sentret","オタチ","尾立"
"162","furret","オオタチ","Ootachi","다꼬리","大尾立","Fouinar","Wiesenior","Furret","Furret","Furret","オオタチ","大尾立"
"163","hoothoot","ホーホー","Hoho","부우부","咕咕","Hoothoot","Hoothoot","Hoothoot","Hoothoot","Hoothoot","ホーホー","咕咕"
"164","noctowl","ヨルノズク","Yorunozuku","야부엉","貓頭夜鷹","Noarfang","Noctuh","Noctowl","Noctowl","Noctowl","ヨルノズク","猫头夜鹰"
"165","ledyba","レディバ","Rediba","레디바","芭瓢蟲","Coxy","Ledyba","Ledyba","Ledyba","Ledyba","レディバ","芭瓢虫"
"166","ledian","レディアン","Redian","레디안","安瓢蟲","Coxyclaque","Ledian","Ledian","Ledian","Ledian","レディアン","安瓢虫"
"167","spinarak","イトマル","Itomaru","페이검","圓絲蛛","Mimigal","Webarak","Spinarak","Spinarak","Spinarak","イトマル","圆丝蛛"
"168","ariados","アリアドス","Ariados","아리아도스","阿利多斯","Migalos","Ariados","Ariados","Ariados","Ariados","アリアドス","阿利多斯"
"169","crobat","クロバット","Crobat","크로뱃","叉字蝠","Nostenfer","Iksbat","Crobat","Crobat","Crobat","クロバット","叉字蝠"
"170","chinchou","チョンチー","Chonchie","초라기","燈籠魚","Loupio","Lampi","Chinchou","Chinchou","Chinchou","チョンチー","灯笼鱼"
"171","lanturn","ランターン","Lantern","랜턴","電燈怪","Lanturn","Lanturn","Lanturn","Lanturn","Lanturn","ランターン","电灯怪"
"172","pichu","ピチュー","Pichu","피츄","皮丘","Pichu","Pichu","Pichu","Pichu","Pichu","ピチュー","皮丘"
"173","cleffa","ピィ","Py","삐","皮寶寶","Mélo","Pii","Cleffa","Cleffa","Cleffa","ピィ","皮宝宝"
"174","igglybuff","ププリン","Pupurin","푸푸린","寶寶丁","Toudoudou","Fluffeluff","Igglybuff","Igglybuff","Igglybuff","ププリン","宝宝丁"
"175","togepi","トゲピー","Togepy","토게피","波克比","Togepi","Togepi","Togepi","Togepi","Togepi","トゲピー","波克比"
"176","togetic","トゲチック","Togechick","토게틱","波克基古","Togetic","Togetic","Togetic","Togetic","Togetic","トゲチック","波克基古"
"177","natu","ネイティ","Naty","네이티","天然雀","Natu","Natu","Natu","Natu","Natu","ネイティ","天然雀"
"178","xatu","ネイティオ","Natio","네이티오","天然鳥","Xatu","Xatu","Xatu","Xatu","Xatu","ネイティオ","天然鸟"
"179","mareep","メリープ","Merriep","메리프","咩利羊","Wattouat","Voltilamm","Mareep","Mareep","Mareep","メリープ","咩利羊"
"180","flaaffy","モココ","Mokoko","보송송","茸茸羊","Lainergie","Waaty","Flaaffy","Flaaffy","Flaaffy","モココ","茸茸羊"
"181","ampharos","デンリュウ","Denryu","전룡","電龍","Pharamp","Ampharos","Ampharos","Ampharos","Ampharos","デンリュウ","电龙"
"182","bellossom","キレイハナ","Kireihana","아르코","美麗花","Joliflor","Blubella","Bellossom","Bellossom","Bellossom","キレイハナ","美丽花"
"183","marill","マリル","Maril","마릴","瑪力露","Marill","Marill","Marill","Marill","Marill","マリル","玛力露"
"184","azumarill","マリルリ","Marilli","마릴리","瑪力露麗","Azumarill","Azumarill","Azumarill","Azumarill","Azumarill","マリルリ","玛力露丽"
"185","sudowoodo","ウソッキー","Usokkie","꼬지모","樹才怪","Simularbre","Mogelbaum","Sudowoodo","Sudowoodo","Sudowoodo","ウソッキー","树才怪"
"186","politoed","ニョロトノ","Nyorotono","왕구리","蚊香蛙皇","Tarpaud","Quaxo","Politoed","Politoed","Politoed","ニョロトノ","蚊香蛙皇"
"187","hoppip","ハネッコ","Hanecco","통통코","毽子草","Granivol","Hoppspross","Hoppip","Hoppip","Hoppip","ハネッコ","毽子草"
"188","skiploom","ポポッコ","Popocco","두코","毽子花","Floravol","Hubelupf","Skiploom","Skiploom","Skiploom","ポポッコ","毽子花"
"189","jumpluff","ワタッコ","Watacco","솜솜코","毽子棉","Cotovol","Papungha","Jumpluff","Jumpluff","Jumpluff","ワタッコ","毽子棉"
